Title,Ratings,Original_Price,Discounted_Price,Link
"BauliMoonfils Croissant - Vanilla Creme4.27284
                Ratings4 x 45 g -
                            Multipack",4.2,₹80,₹59.04,https://bigbasket.in/pd/1228556/bauli-moonfils-croissant-vanilla-creme-4-x-45-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Moonfils+Croissant+-+Vanilla+Creme
fresho! SignatureCorn Bread - Pre-Sliced300 g,NA,NA,₹95,https://bigbasket.in/pd/40037478/fresho-signature-corn-bread-pre-sliced-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Corn+Bread+-+Pre-Sliced
fresho! SignatureFocaccia Bread - Onion3.4362 Ratings200 g,3.4,NA,₹75,https://bigbasket.in/pd/40037487/fresho-signature-focaccia-bread-onion-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=11&t_s=Focaccia+Bread+-+Onion
Dayspring100% Atta Bread338 Ratings400 g,3,NA,₹45,https://bigbasket.in/pd/40312367/dayspring-100-atta-bread-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=21&t_s=100%2525+Atta+Bread
English OvenButter Croissant3.733 Ratings120 g,3.7,NA,₹170,https://bigbasket.in/pd/40302408/english-oven-butter-croissant-120-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=9&t_s=Butter+Croissant
UNROLLWhite Chocolate Donuts - Heat & Eat3.73 Ratings200 g - (4 pcs),3.7,NA,₹210,https://bigbasket.in/pd/40296160/unroll-white-chocolate-donuts-heat-eat-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=10&t_s=White+Chocolate+Donuts+-+Heat+%2526+Eat
"BauliSavoriz Puffed Roll - With Cheese Tandoori, 100% Vegetarian, Soft & Creamy3.6338 Ratings12x45 g - Multipack",3.6,NA,₹240,https://bigbasket.in/pd/1223931/bauli-savoriz-puffed-roll-with-cheese-tandoori-100-vegetarian-soft-creamy-12x45-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=11&t_s=Savoriz+Puffed+Roll+-+With+Cheese+Tandoori%252C+100%2525+Vegetarian%252C+Soft+%2526+Creamy
BauliMava Tea Cake - Soft3.675 Ratings210 g,3.6,NA,₹130,https://bigbasket.in/pd/40302066/bauli-mava-tea-cake-soft-225-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=12&t_s=Mava+Tea+Cake+-+Soft
The Baker's DozenChocolate Croissant - Pain Au Chocolat3.498 Ratings115 g,3.4,NA,NA,https://bigbasket.in/pd/30007339/the-bakers-dozen-chocolate-croissant-pain-au-chocolat-115-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=13&t_s=Chocolate+Croissant+-+Pain+Au+Chocolat
BauliChoco Chip Tea Cake - Soft3.439 Ratings210 g,3.4,NA,₹150,https://bigbasket.in/pd/40302065/bauli-choco-chip-tea-cake-soft-225-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=14&t_s=Choco+Chip+Tea+Cake+-+Soft
The Baker's DozenBaguette - 100% Wholewheat Sourdough3.359 Ratings150 g,3.3,NA,₹95,https://bigbasket.in/pd/40169937/the-bakers-dozen-baguette-100-wholewheat-sourdough-150-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=15&t_s=Baguette+-+100%2525+Wholewheat+Sourdough
The Baker's DozenCiabatta - 100% Wholewheat3.328 Ratings110 g,3.3,NA,₹55,https://bigbasket.in/pd/40169946/the-bakers-dozen-ciabatta-100-wholewheat-110-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=16&t_s=Ciabatta+-+100%2525+Wholewheat
