Title,Ratings,Original_Price,Manufacturing_Date,Expiry_Date,total_days,Demand,Demand_rank,days_remaining,Discount_Percentage,discount,ProductName_encoded
BauliMoonfils Croissant,4.2,80.0,2024-04-20,2024-05-20,30,Medium,1.0,5,10.39,6.93,62
MODERNWow Pav,3.9,35.0,2022-08-04,2022-09-03,30,Medium,1.0,0,10.47,0.0,301
LA AmericanaWholewheat,4.0,65.0,2024-08-26,2024-09-25,30,Medium,1.0,133,11.4,0.0,287
MODERNBurger Supreme,4.0,30.0,2023-08-18,2023-09-17,30,Medium,1.0,0,11.29,0.0,299
MODERNWow Pav,3.8,25.0,2023-02-01,2023-03-03,30,Low,0.0,0,12.89,0.0,301
MODERNMedium Crust,3.5,27.0,2023-03-14,2023-04-13,30,Low,0.0,0,14.22,0.0,300
MODERNBurger Supreme,4.0,30.0,2024-05-05,2024-06-04,30,Medium,1.0,20,11.29,1.13,299
MODERNWow Pav,3.8,25.0,2025-04-07,2025-05-07,30,Low,0.0,357,14.8,0.0,301
MODERNMedium Crust,3.5,27.0,2024-09-18,2024-10-18,30,Low,0.0,156,13.54,0.0,300
Bonn BreadHigh,3.6,50.0,2023-07-04,2023-08-03,30,Low,0.0,0,13.8,0.0,76
Harvest Gold100%,3.9,60.0,2022-08-13,2022-09-12,30,Medium,1.0,0,10.91,0.0,228
BritanniaTreat Croissant,3.9,80.0,2023-05-06,2023-06-05,30,Medium,1.0,0,10.46,0.0,99
Wingreens FarmsBaked,3.7,300.0,2023-07-12,2023-08-11,30,Low,0.0,0,13.43,0.0,621
BritanniaGobbles Choco,4.1,60.0,2025-02-10,2025-03-12,30,Medium,1.0,301,10.48,0.0,94
Wingreens FarmsCrispy,3.8,300.0,2024-10-02,2024-11-01,30,Low,0.0,170,14.13,0.0,623
BauliMoonfils Croissant,4.1,80.0,2024-02-24,2024-03-25,30,Medium,1.0,0,10.55,0.0,62
LA AmericanaWholewheat,4.0,65.0,2022-10-18,2022-11-17,30,Medium,1.0,0,10.32,0.0,287
Bonn BreadHigh,3.6,50.0,2023-08-12,2023-09-11,30,Low,0.0,0,13.05,0.0,76
Harvest Gold100%,3.9,60.0,2022-12-20,2023-01-19,30,Medium,1.0,0,11.08,0.0,228
Harvest GoldMultigrain,3.9,70.0,2024-06-30,2024-07-30,30,Medium,1.0,76,10.34,0.0,232
Bonn BreadWhole,3.9,55.0,2022-11-16,2022-12-16,30,Medium,1.0,0,11.45,0.0,86
Just BreadsBread,3.7,40.0,2023-11-30,2023-12-30,30,Low,0.0,0,13.2,0.0,265
Bonn BreadFrooty,4.0,20.0,2024-08-18,2024-09-17,30,Medium,1.0,125,10.37,0.0,74
KaloryWhole Wheat,3.9,45.0,2023-06-15,2023-07-15,30,Medium,1.0,0,11.75,0.0,268
Harvest GoldMultigrain,3.9,70.0,2023-09-29,2023-10-29,30,Medium,1.0,0,10.47,0.0,232
Bonn BreadWhole,3.9,55.0,2024-05-07,2024-06-06,30,Medium,1.0,22,10.83,1.59,86
Just BreadsBread,3.7,40.0,2025-03-23,2025-04-22,30,Low,0.0,342,12.48,0.0,265
Bonn BreadFrooty,4.0,20.0,2023-10-19,2023-11-18,30,Medium,1.0,0,10.6,0.0,74
KaloryWhole Wheat,3.9,45.0,2022-09-20,2022-10-20,30,Medium,1.0,0,10.82,0.0,268
Bonn BreadPremium,3.9,45.0,2022-09-20,2022-10-20,30,Medium,1.0,0,11.3,0.0,80
EliteMilk Bread4.1279,4.1,50.0,2022-10-30,2022-11-29,30,Medium,1.0,0,11.74,0.0,176
EliteFamily Wonder,4.1,60.0,2023-01-12,2023-02-11,30,Medium,1.0,0,11.55,0.0,174
Bonn BreadMilk,4.0,50.0,2023-06-01,2023-07-01,30,Medium,1.0,0,10.93,0.0,78
BauliMoonfils Croissant,4.2,80.0,2024-02-25,2024-03-26,30,Medium,1.0,0,11.91,0.0,62
EliteMilk Bread4.1279,4.1,50.0,2025-02-20,2025-03-22,30,Medium,1.0,311,10.66,0.0,176
EliteFamily Wonder,4.1,60.0,2024-03-08,2024-04-07,30,Medium,1.0,0,10.68,0.0,174
Bonn BreadMilk,4.0,50.0,2022-08-29,2022-09-28,30,Medium,1.0,0,11.61,0.0,78
BritanniaTreat Croissant,4.1,120.0,2023-09-13,2023-10-13,30,Medium,1.0,0,11.16,0.0,99
Bonn BreadAtta,3.9,40.0,2022-08-21,2022-09-20,30,Medium,1.0,0,10.68,0.0,72
Harvest GoldBakers,4.1,65.0,2023-01-31,2023-03-02,30,Medium,1.0,0,11.85,0.0,230
BonnBrown Bread,3.8,55.0,2024-10-08,2024-11-07,30,Low,0.0,176,13.31,0.0,87
Bonn BreadHigh,3.9,55.0,2024-01-22,2024-02-21,30,Medium,1.0,0,11.2,0.0,76
Bonn BreadWhite,3.9,60.0,2023-08-08,2023-09-07,30,Medium,1.0,0,10.17,0.0,85
BritanniaFudge It,4.2,80.0,2023-05-28,2023-06-27,30,Medium,1.0,0,10.01,0.0,93
Harvest Gold100%,3.9,60.0,2024-10-22,2024-11-21,30,Medium,1.0,190,10.21,0.0,228
The Health,4.1,60.0,2024-04-20,2024-05-20,30,Medium,1.0,5,11.99,6.0,584
Bonn BreadAtta,3.9,40.0,2022-12-15,2023-01-14,30,Medium,1.0,0,10.59,0.0,72
Harvest GoldBakers,4.1,65.0,2023-07-27,2023-08-26,30,Medium,1.0,0,10.25,0.0,230
BonnBrown Bread,3.8,55.0,2023-03-29,2023-04-28,30,Low,0.0,0,12.87,0.0,87
Bonn BreadHigh,3.9,55.0,2024-11-30,2024-12-30,30,Medium,1.0,229,11.82,0.0,76
Bonn BreadWhite,3.9,60.0,2024-08-08,2024-09-07,30,Medium,1.0,115,11.51,0.0,85
Harvest Gold100%,3.9,60.0,2024-06-09,2024-07-09,30,Medium,1.0,55,11.35,0.0,228
The Health,4.1,60.0,2024-01-16,2024-02-15,30,Medium,1.0,0,11.96,0.0,584
Bonn BreadAtta,4.0,50.0,2023-01-23,2023-02-22,30,Medium,1.0,0,11.97,0.0,72
Bonn BreadSoft,3.8,20.0,2022-08-21,2022-09-20,30,Low,0.0,0,12.51,0.0,83
BauliMoonfils Croissant,4.2,80.0,2025-03-23,2025-04-22,30,Medium,1.0,342,10.29,0.0,62
Wingreens FarmsBread,3.8,300.0,2022-11-11,2022-12-11,30,Low,0.0,0,14.82,0.0,622
Bran-OPlus High-Fibre,3.8,60.0,2023-07-27,2023-08-26,30,Low,0.0,0,13.68,0.0,91
LA AmericanaWholewheat,3.8,65.0,2023-09-15,2023-10-15,30,Low,0.0,0,12.69,0.0,287
Bonn BreadPrime,3.8,40.0,2023-04-25,2023-05-25,30,Low,0.0,0,13.02,0.0,81
Bonn BreadAtta,3.8,55.0,2023-02-21,2023-03-23,30,Low,0.0,0,14.49,0.0,72
Bran-OPlus Fruit,3.8,40.0,2024-08-27,2024-09-26,30,Low,0.0,134,14.41,0.0,90
Harvest GoldKulcha,3.7,45.0,2023-07-09,2023-08-08,30,Low,0.0,0,13.83,0.0,231
Bonn BreadBread,3.8,50.0,2023-04-11,2023-05-11,30,Low,0.0,0,14.73,0.0,73
Bonn BreadKulcha,3.8,40.0,2025-03-26,2025-04-25,30,Low,0.0,345,13.21,0.0,77
Bonn BreadAtta,4.0,50.0,2024-10-29,2024-11-28,30,Medium,1.0,197,10.92,0.0,72
Bonn BreadSoft,3.8,20.0,2024-12-07,2025-01-06,30,Low,0.0,236,12.72,0.0,83
Wingreens FarmsBread,3.8,300.0,2024-11-11,2024-12-11,30,Low,0.0,210,13.69,0.0,622
Bran-OPlus High-Fibre,3.8,60.0,2023-10-14,2023-11-13,30,Low,0.0,0,13.39,0.0,91
