Title,Ratings,Original_Price,Manufacturing_Date,Expiry_Date,total_days,Demand,Demand_rank,days_remaining,Discount_Percentage,discount,ProductName_encoded
BauliMoonfils Croissant,4.2,80.0,2022-08-17,2022-09-16,30,Medium,1.0,0,10.08,0.0,62
MODERNWow Pav,3.9,35.0,2024-12-05,2025-01-04,30,Medium,1.0,0,10.08,0.0,301
LA AmericanaWholewheat,4.0,65.0,2025-01-02,2025-02-01,30,Medium,1.0,3,11.17,6.53,287
MODERNBurger Supreme,4.0,30.0,2024-01-26,2024-02-25,30,Medium,1.0,0,11.73,0.0,299
MODERNWow Pav,3.8,25.0,2023-05-31,2023-06-30,30,Low,0.0,0,14.11,0.0,301
MODERNMedium Crust,3.5,27.0,2023-02-10,2023-03-12,30,Low,0.0,0,12.42,0.0,300
MODERNBurger Supreme,4.0,30.0,2024-04-09,2024-05-09,30,Medium,1.0,0,11.59,0.0,299
MODERNWow Pav,3.8,25.0,2024-07-02,2024-08-01,30,Low,0.0,0,12.82,0.0,301
MODERNMedium Crust,3.5,27.0,2024-05-12,2024-06-11,30,Low,0.0,0,14.98,0.0,300
Bonn BreadHigh,3.6,50.0,2022-11-05,2022-12-05,30,Low,0.0,0,14.55,0.0,76
Harvest Gold100%,3.9,60.0,2023-09-04,2023-10-04,30,Medium,1.0,0,10.03,0.0,228
BritanniaTreat Croissant,3.9,80.0,2023-10-08,2023-11-07,30,Medium,1.0,0,10.16,0.0,99
Wingreens FarmsBaked,3.7,300.0,2022-12-28,2023-01-27,30,Low,0.0,0,14.69,0.0,621
BritanniaGobbles Choco,4.1,60.0,2024-01-13,2024-02-12,30,Medium,1.0,0,10.46,0.0,94
Wingreens FarmsCrispy,3.8,300.0,2025-04-15,2025-05-15,30,Low,0.0,106,14.35,0.0,623
BauliMoonfils Croissant,4.1,80.0,2023-03-01,2023-03-31,30,Medium,1.0,0,10.33,0.0,62
LA AmericanaWholewheat,4.0,65.0,2023-02-17,2023-03-19,30,Medium,1.0,0,11.45,0.0,287
Bonn BreadHigh,3.6,50.0,2022-09-23,2022-10-23,30,Low,0.0,0,14.08,0.0,76
Harvest Gold100%,3.9,60.0,2023-05-15,2023-06-14,30,Medium,1.0,0,11.9,0.0,228
Harvest GoldMultigrain,3.9,70.0,2024-03-19,2024-04-18,30,Medium,1.0,0,11.24,0.0,232
Bonn BreadWhole,3.9,55.0,2024-04-26,2024-05-26,30,Medium,1.0,0,10.87,0.0,86
Just BreadsBread,3.7,40.0,2025-03-16,2025-04-15,30,Low,0.0,76,12.9,0.0,265
Bonn BreadFrooty,4.0,20.0,2024-07-18,2024-08-17,30,Medium,1.0,0,11.45,0.0,74
KaloryWhole Wheat,3.9,45.0,2024-08-28,2024-09-27,30,Medium,1.0,0,10.72,0.0,268
Harvest GoldMultigrain,3.9,70.0,2022-08-09,2022-09-08,30,Medium,1.0,0,10.53,0.0,232
Bonn BreadWhole,3.9,55.0,2024-12-09,2025-01-08,30,Medium,1.0,0,11.42,0.0,86
Just BreadsBread,3.7,40.0,2024-06-08,2024-07-08,30,Low,0.0,0,13.09,0.0,265
Bonn BreadFrooty,4.0,20.0,2023-06-22,2023-07-22,30,Medium,1.0,0,10.06,0.0,74
KaloryWhole Wheat,3.9,45.0,2023-09-11,2023-10-11,30,Medium,1.0,0,10.75,0.0,268
Bonn BreadPremium,3.9,45.0,2022-10-09,2022-11-08,30,Medium,1.0,0,10.13,0.0,80
EliteMilk Bread4.1279,4.1,50.0,2024-05-18,2024-06-17,30,Medium,1.0,0,11.5,0.0,176
EliteFamily Wonder,4.1,60.0,2025-01-01,2025-01-31,30,Medium,1.0,2,11.63,6.51,174
Bonn BreadMilk,4.0,50.0,2024-12-22,2025-01-21,30,Medium,1.0,0,10.52,0.0,78
BauliMoonfils Croissant,4.2,80.0,2023-04-08,2023-05-08,30,Medium,1.0,0,10.63,0.0,62
EliteMilk Bread4.1279,4.1,50.0,2024-09-25,2024-10-25,30,Medium,1.0,0,11.19,0.0,176
EliteFamily Wonder,4.1,60.0,2023-08-31,2023-09-30,30,Medium,1.0,0,10.88,0.0,174
Bonn BreadMilk,4.0,50.0,2022-10-21,2022-11-20,30,Medium,1.0,0,10.42,0.0,78
BritanniaTreat Croissant,4.1,120.0,2023-11-28,2023-12-28,30,Medium,1.0,0,11.33,0.0,99
Bonn BreadAtta,3.9,40.0,2024-05-09,2024-06-08,30,Medium,1.0,0,11.15,0.0,72
Harvest GoldBakers,4.1,65.0,2024-08-28,2024-09-27,30,Medium,1.0,0,10.74,0.0,230
BonnBrown Bread,3.8,55.0,2024-04-05,2024-05-05,30,Low,0.0,0,12.6,0.0,87
Bonn BreadHigh,3.9,55.0,2024-07-23,2024-08-22,30,Medium,1.0,0,10.61,0.0,76
Bonn BreadWhite,3.9,60.0,2023-08-27,2023-09-26,30,Medium,1.0,0,10.61,0.0,85
BritanniaFudge It,4.2,80.0,2022-11-26,2022-12-26,30,Medium,1.0,0,10.47,0.0,93
Harvest Gold100%,3.9,60.0,2023-02-12,2023-03-14,30,Medium,1.0,0,10.01,0.0,228
The Health,4.1,60.0,2025-04-16,2025-05-16,30,Medium,1.0,107,11.8,0.0,584
Bonn BreadAtta,3.9,40.0,2024-06-26,2024-07-26,30,Medium,1.0,0,11.11,0.0,72
Harvest GoldBakers,4.1,65.0,2022-10-05,2022-11-04,30,Medium,1.0,0,10.22,0.0,230
BonnBrown Bread,3.8,55.0,2025-03-19,2025-04-18,30,Low,0.0,79,12.26,0.0,87
Bonn BreadHigh,3.9,55.0,2024-05-21,2024-06-20,30,Medium,1.0,0,11.81,0.0,76
Bonn BreadWhite,3.9,60.0,2023-06-16,2023-07-16,30,Medium,1.0,0,11.7,0.0,85
Harvest Gold100%,3.9,60.0,2023-09-03,2023-10-03,30,Medium,1.0,0,11.43,0.0,228
The Health,4.1,60.0,2024-01-17,2024-02-16,30,Medium,1.0,0,11.75,0.0,584
Bonn BreadAtta,4.0,50.0,2023-04-10,2023-05-10,30,Medium,1.0,0,11.93,0.0,72
Bonn BreadSoft,3.8,20.0,2023-02-02,2023-03-04,30,Low,0.0,0,14.35,0.0,83
BauliMoonfils Croissant,4.2,80.0,2023-03-04,2023-04-03,30,Medium,1.0,0,10.71,0.0,62
Wingreens FarmsBread,3.8,300.0,2023-07-24,2023-08-23,30,Low,0.0,0,14.45,0.0,622
